objectid,originalfilename,filename,title,originaltitle,tributary,description,creator,callnumber,itemnumber,collectionname,repository,date,archivaldate,subject,damspace,damtime,submerged,location,latitude,longitude,sourcelink,format,type,language,display_template,object_location,image_small,image_thumb
sediment0,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/11840/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20tad%20nichols,sediment0.jpg,Photographer Tad Nichols on his back in Glen Canyon sand,"Tad - Glen Canyon [On his back in the sand, with camera pointed upward].",,,"Nichols, Tad",NAU.PH.99.3.1.44.53,27649,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1969,1969,sediment; wonder; exploration; atmosphere,Above dam,Post-dam ,,Glen Canyon,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/11840/rec/1,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment0.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment0_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment0_th.jpg
sediment1,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/13462/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20tad%20nichols,sediment1.jpg,Tad Nichols collects water from a cliffside spring,[Tad Nichols collecting water at cliffside (from seep or spring).],,"Seeps are places where water pushes out from a cliff face. As rain falls on sandstone ground, it percolates down through the porous rock until it reaches a layer of shale, whose sedimentary particulates are gathered too tightly to allow water to pass. The water then moves sideways along the shale surface until it pushes out through the cliff wall. Water can spend years travelling through the rock before it emerges from a seep. ","Nichols, Tad",NAU.PH.99.3.1.64.13,21832,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1977,1977,sediment; water; springs,Above dam,Post-dam ,,Glen Canyon,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/13462/rec/7,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment1.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment1_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment1_th.jpg
sediment2,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/12119/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20tad%20nichols,sediment2.jpg,Visitors touching stone in Redbud Pass,Feeling stone - Redbud Pass [Tad Nichols and three others].,,,"Nichols, Tad",NAU.PH.99.3.1.61.33,26701,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1975,1975,land; wonder; atmosphere; Rainbow Bridge,Above dam,Post-dam ,,Glen Canyon; Rainbow Bridge,37.05538545,-110.9467634,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/12119/rec/8,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment2.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment2_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment2_th.jpg
sediment3,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/22881/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20tad%20nichols,sediment3.jpg,Tad Nichols in Upper Cathedral Canyon,Tad Nichols - Upper Cathedral Canyon.,,,"Nichols, Tad",NAU.PH.99.3.144.62,27657,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1969,1969,sediment; land; water,Above dam,Post-dam ,,Glen Canyon,37.0792293,-111.0062077,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/22881/rec/11,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment3.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment3_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment3_th.jpg
sediment4,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/17302/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20tad%20nichols,sediment4.jpg,Tad Nichols sitting on rock steps at Crossing of the Fathers,Tad sitting on rock steps at Crossing of the Fathers [This image appears in Tad's Glen Canyon book on page 136].,,"Tad Nichols sitting on rock steps at a potential Crossing of the Fathers site. In 1776, Franciscan preists, Fathers Escalante and Dominguez wandered along the Colorado River for a month before they found an accessible crossing. The expedition had set out from Santa Fe, New Mexico to search for an overland route to reach a Catholic Mission in Monterrey, California, but was forced to backtrack as winter approached. Indigenous guides had intially led them safely across the river, but on their return, their guide, who was 12 years old, suddenly quit after witnessing severe punishment of a servant. Lost and out of supplies, the party was forced to eat their horses.  The exact location of this crossing is unkown, but the Fathers remarked in their journal that the crossing was made possible by carving steps down the sandstone cliffs, and by swimming across a part of the river that had been made narrow by sand bars and the river's bend. The Crossing of the Fathers is now under Lake Powell's waters. ","Nichols, Tad",NAU.PH.99.3.1.15.132,28571,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1958,1958,sediment; humans; conquistadors,Above dam,Pre-dam,submerged,Glen Canyon; Crossing of the Fathers,37.08051318,-111.3133762,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/17302/rec/29,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment4.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment4_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment4_th.jpg
sediment5,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/9837/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20image,sediment5.jpg,Tad Nichols in Dungeon Canyon,[Tad Nichols in Dungeon Canyon; this image appears in Tad's Glen Canyon book on page 119.],,"Tad Nichols stands at the bottom of Dungeon Canyon. Dungeon Canyon was once one of Glen Canyon's deepest side canyons. It was submerged when the lake backed up behind Glen Canyon Dam after its completion in 1966, but as the lake dries up, Dungeon Canyon is beginning to re-emerge. ","Nichols, Tad",NAU.PH.99.3.1.21.14,23130,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1960,1960,sediment; water; wonder; atmosphere,Above dam,Pre-dam,,Glen Canyon; Dungeon Canyon,37.06972305,-111.1509796,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/9837/rec/61,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment5.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment5_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment5_th.jpg
sediment6,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/11074/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20image,sediment6.jpg,Beaver dam in Glen Canyon,"[Tad Nichols wading, pointing toward beaver dam.]",,"Beavers have been making dams on the Colorado River long before the Bureau of Reclamation built Glen Canyon Dam. But beaver dams are constructed of loose stick piles, not solid concrete, and therefore allow water and small material to pass through. Beaver dams were also temporary; before Glen Canyon Dam, spring floods scoured the landscape,  washing away not only beavers' dams but also the river banks where beavers made their dens, the willow and cottonwood that beavers depend on for food. As a result, there were fewer beavers around Glen Canyon pre-dam. As beaver populations have blossomed, willow has declined, easing the way for  invasive tamarisk to take root. ","Nichols, Tad",NAU.PH.99.3.1.19.5,22876,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1960,1960,animals; beaver; dam; biota,Above dam,Pre-dam,,Glen Canyon,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/11074/rec/76,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment6.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment6_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment6_th.jpg
sediment7,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/13056/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20image,sediment7.jpg,Aerial view of Glen Canyon and Mystery (Anasazi) Canyon,[Glen Canyon aerial view - Entrance to Mystery Canyon.],,,"Nichols, Tad",NAU.PH.99.3.1.68.29,47129,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1957,1950-1965,land; aridity; atmosphere; water; river,Above dam,Pre-dam,submerged,Glen Canyon; Mystery Canyon,37.14678115,-110.9419214,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/13056/rec/87,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment7.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment7_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment7_th.jpg
sediment8,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/10755/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20image,sediment8.jpg,Navajo sandstone crossbedding,Navajo Sandstone.,,"Navajo Sandstone was blown in on wind systems 190 million years ago, during the Early Jurrasic Period. The crossbedding reaveals these winds originated from the north-north west, and the particulates themselves are well-rounded and fine quartz, evidence of a long journey. Geologists have found zircon in the particulates, which shows they came from the Appalachain mountains, carried by an ancient river system and then blown by desert winds. They formed sand dunes larger than the Sahara, (20m) which will leave no record behind. It is the largest aeolian record on earth. These winds still sculpt the region today. Scientists have shown that much of the sandstone was ""churned by insects and trampled by reptiles (Loope and Rowe 2003, p. 223). Evidence of stromatalites has also been found, which are laminated growth structures created by microbes. ","Nichols, Tad",NAU.PH.99.3.1.18.79,23927,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1960,1960,sediment; land; atmosphere; wind;,,Pre-dam,,Glen Canyon,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/10755/rec/99,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment8.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment8_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment8_th.jpg
sediment9,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/21507/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20imagehttps://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/21507/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20imagehttps://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/21507/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20image,sediment9.jpg,Rectilinear petroglyph,[Petroglyph - Rectilinear design within circle.],,"There are countless petroglyphs around Glen Canyon, some of which have been buried by Lake Powell. Petroglyphs were created by the many Indigenous individuals and communities that have dwelt with Glen Canyon, and often times mark a culturally or personally importance place. The contrast in color between the glyph and the surrounding stone relies on scraping away the desert varnish, which forms when the rock interacts with air, water, minerals, and microorganisims over thousands of years. ","Nichols, Tad",NAU.PH.99.3.1.19.58,23005,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1960,1960,petroglyphs; humans; art;,,Pre-dam,,Glen Canyon,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/21507/rec/104,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment9.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment9_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment9_th.jpg
